Angle,Intensity
14.535,79
14.5392,91
14.5434,97
14.5476,80
14.5517,93
14.5559,74
14.5601,88
14.5643,62
14.5684,90
14.5726,94
14.5768,77
14.581,73
14.5852,88
14.5893,64
14.5935,89
14.5977,91
14.6019,90
14.606,94
14.6102,84
14.6144,68
14.6186,78
14.6228,92
14.6269,87
14.6311,82
14.6353,96
14.6395,90
14.6436,84
14.6478,85
14.652,79
14.6562,91
14.6604,104
14.6645,93
14.6687,81
14.6729,89
14.6771,96
14.6812,85
14.6854,103
14.6896,74
14.6938,84
14.698,87
14.7021,89
14.7063,82
14.7105,91
14.7147,80
14.7188,89
14.723,88
14.7272,96
14.7314,70
14.7356,88
14.7397,67
14.7439,89
14.7481,89
14.7523,79
14.7564,87
14.7606,84
14.7648,91
14.769,91
14.7732,78
14.7773,76
14.7815,67
14.7857,96
14.7899,88
14.794,99
14.7982,88
14.8024,92
14.8066,87
14.8108,79
14.8149,94
14.8191,82
14.8233,78
14.8275,84
14.8316,110
14.8358,97
14.84,78
14.8442,84
14.8484,84
14.8525,65
14.8567,70
14.8609,93
14.8651,105
14.8692,92
14.8734,76
14.8776,86
14.8818,93
14.886,81
14.8901,92
14.8943,98
14.8985,84
14.9027,81
14.9068,80
14.911,79
14.9152,82
14.9194,79
14.9236,111
14.9277,89
14.9319,97
14.9361,89
14.9403,102
14.9444,98
14.9486,75
14.9528,80
14.957,84
14.9612,72
14.9653,84
14.9695,86
14.9737,85
14.9779,90
14.982,78
14.9862,68
14.9904,81
14.9946,98
14.9988,77
15.0029,75
15.0071,89
15.0113,76
15.0155,96
15.0196,94
15.0238,96
15.028,78
15.0322,77
15.0364,77
15.0405,72
15.0447,79
15.0489,77
15.0531,97
15.0572,75
15.0614,86
15.0656,92
15.0698,90
15.074,81
15.0781,108
15.0823,87
15.0865,86
15.0907,87
15.0948,88
15.099,87
15.1032,97
15.1074,78
15.1116,87
15.1157,102
15.1199,116
15.1241,88
15.1283,101
15.1324,87
15.1366,88
15.1408,85
15.145,81
15.1492,88
15.1533,80
15.1575,90
15.1617,67
15.1659,77
15.17,91
15.1742,78
15.1784,72
15.1826,105
15.1868,99
15.1909,70
15.1951,73
